Tactics,Sentence
Discovery,Epic is a backdoor that has been used by Turla.
Command and Control,Epic is a backdoor that has been used by Turla.
Defense Evasion,Epic is a backdoor that has been used by Turla.
Collection,Epic is a backdoor that has been used by Turla.
Privilege Escalation,Epic is a backdoor that has been used by Turla.
Initial Access,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Execution,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Resource Development,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Discovery,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Lateral Movement,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Defense Evasion,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Persistence,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Privilege Escalation,"BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013."
Initial Access,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Execution,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Resource Development,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Discovery,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Lateral Movement,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Defense Evasion,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Persistence,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Privilege Escalation,"BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
Initial Access,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Execution,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Defense Evasion,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Discovery,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Persistence,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Privilege Escalation,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Command and Control,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Lateral Movement,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
Execution,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Credential Access,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Defense Evasion,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Privilege Escalation,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Impact,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Discovery,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Initial Access,Malteiro is a financially motivated criminal group that is likely based in Brazil and has been active since at least November 2019.
Execution,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Credential Access,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Defense Evasion,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Privilege Escalation,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Impact,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Discovery,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Initial Access,The group operates and distributes the Mispadu banking trojan via a Malware-as-a-Service MaaS business model.
Execution,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Credential Access,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Defense Evasion,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Privilege Escalation,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Impact,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Discovery,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Initial Access,Malteiro mainly targets victims throughout Latin America particularly Mexico and Europe particularly Spain and Portugal.
Resource Development,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Defense Evasion,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Persistence,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Privilege Escalation,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Credential Access,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Execution,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Initial Access,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Discovery,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Lateral Movement,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Exfiltration,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Command and Control,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Collection,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Reconnaissance,Earth Lusca is a suspected China-based cyber espionage group that has been active since at least April 2019.
Resource Development,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Defense Evasion,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Persistence,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Privilege Escalation,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Credential Access,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Execution,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Initial Access,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Discovery,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Lateral Movement,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Exfiltration,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Command and Control,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Collection,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Reconnaissance,"Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
Resource Development,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Defense Evasion,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Persistence,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Privilege Escalation,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Credential Access,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Execution,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Initial Access,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Discovery,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Lateral Movement,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Exfiltration,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Command and Control,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Collection,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Reconnaissance,"Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
Resource Development,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Defense Evasion,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Persistence,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Privilege Escalation,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Credential Access,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Execution,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Initial Access,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Discovery,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Lateral Movement,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Exfiltration,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Command and Control,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Collection,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Reconnaissance,"Earth Lusca has used malware commonly used by other Chinese threat groups, including APT41 and the Winnti Group cluster, however security researchers assess Earth Lusca's techniques and infrastructure are separate."
Defense Evasion,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
Discovery,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
Exfiltration,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
Command and Control,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
Execution,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
Collection,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
Command and Control,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Privilege Escalation,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Defense Evasion,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Persistence,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Exfiltration,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Execution,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Discovery,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Collection,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
Command and Control,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Privilege Escalation,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Defense Evasion,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Persistence,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Exfiltration,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Execution,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Discovery,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Collection,"The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
Execution,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Impact,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Defense Evasion,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Command and Control,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Persistence,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Privilege Escalation,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Discovery,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021."
Execution,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Impact,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Defense Evasion,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Command and Control,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Persistence,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Privilege Escalation,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Discovery,"Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
Discovery,Orz is a custom JavaScript backdoor used by Leviathan.
Execution,Orz is a custom JavaScript backdoor used by Leviathan.
Defense Evasion,Orz is a custom JavaScript backdoor used by Leviathan.
Command and Control,Orz is a custom JavaScript backdoor used by Leviathan.
Privilege Escalation,Orz is a custom JavaScript backdoor used by Leviathan.
Discovery,It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.
Execution,It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.
Defense Evasion,It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.
Command and Control,It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.
Privilege Escalation,It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.
Execution,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Defense Evasion,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Lateral Movement,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Command and Control,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Persistence,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Privilege Escalation,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Initial Access,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Collection,SeaDuke is malware that was used by APT29 from 2014 to 2015.
Execution,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Defense Evasion,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Lateral Movement,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Command and Control,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Persistence,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Privilege Escalation,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Initial Access,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Collection,It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
Execution,"Winnti for Windows is a modular remote access Trojan RAT that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group."
Persistence,"Winnti for Windows is a modular remote access Trojan RAT that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group."
Privilege Escalation,"Winnti for Windows is a modular remote access Trojan RAT that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group."
Command and Control,"Winnti for Windows is a modular remote access Trojan RAT that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group."
Discovery,"Winnti for Windows is a modular remote access Trojan RAT that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group."
Defense Evasion,"Winnti for Windows is a modular remote access Trojan RAT that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group."
Execution,The Linux variant is tracked separately under Winnti for Linux.
Persistence,The Linux variant is tracked separately under Winnti for Linux.
Privilege Escalation,The Linux variant is tracked separately under Winnti for Linux.
Command and Control,The Linux variant is tracked separately under Winnti for Linux.
Discovery,The Linux variant is tracked separately under Winnti for Linux.
Defense Evasion,The Linux variant is tracked separately under Winnti for Linux.
Persistence,Wingbird is a backdoor that appears to be a version of commercial software FinFisher.
Privilege Escalation,Wingbird is a backdoor that appears to be a version of commercial software FinFisher.
Defense Evasion,Wingbird is a backdoor that appears to be a version of commercial software FinFisher.
Execution,Wingbird is a backdoor that appears to be a version of commercial software FinFisher.
Discovery,Wingbird is a backdoor that appears to be a version of commercial software FinFisher.
Persistence,It is reportedly used to attack individual computers instead of networks.
Privilege Escalation,It is reportedly used to attack individual computers instead of networks.
Defense Evasion,It is reportedly used to attack individual computers instead of networks.
Execution,It is reportedly used to attack individual computers instead of networks.
Discovery,It is reportedly used to attack individual computers instead of networks.
Persistence,It was used by NEODYMIUM in a May 2016 campaign.
Privilege Escalation,It was used by NEODYMIUM in a May 2016 campaign.
Defense Evasion,It was used by NEODYMIUM in a May 2016 campaign.
Execution,It was used by NEODYMIUM in a May 2016 campaign.
Discovery,It was used by NEODYMIUM in a May 2016 campaign.
Discovery,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Collection,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Command and Control,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Defense Evasion,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Persistence,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Privilege Escalation,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Exfiltration,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Execution,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Credential Access,Attor is a Windows-based espionage platform that has been seen in use since 2013.
Discovery,Attor has a loadable plugin architecture to customize functionality for specific targets.
Collection,Attor has a loadable plugin architecture to customize functionality for specific targets.
Command and Control,Attor has a loadable plugin architecture to customize functionality for specific targets.
Defense Evasion,Attor has a loadable plugin architecture to customize functionality for specific targets.
Persistence,Attor has a loadable plugin architecture to customize functionality for specific targets.
Privilege Escalation,Attor has a loadable plugin architecture to customize functionality for specific targets.
Exfiltration,Attor has a loadable plugin architecture to customize functionality for specific targets.
Execution,Attor has a loadable plugin architecture to customize functionality for specific targets.
Credential Access,Attor has a loadable plugin architecture to customize functionality for specific targets.
Discovery,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Execution,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Persistence,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Privilege Escalation,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Defense Evasion,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Collection,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Exfiltration,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Command and Control,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Lateral Movement,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Credential Access,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Initial Access,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Impact,TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre.
Discovery,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Execution,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Persistence,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Privilege Escalation,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Defense Evasion,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Collection,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Exfiltration,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Command and Control,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Lateral Movement,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Credential Access,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Initial Access,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Impact,"TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
Defense Evasion,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Discovery,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Exfiltration,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Command and Control,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Collection,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Persistence,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Privilege Escalation,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Execution,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
Defense Evasion,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Command and Control,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Exfiltration,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Collection,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Discovery,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Execution,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Impact,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
Persistence,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014.
