Key,ParentTechniqueID,Value
T1547.001,T1547,Software has been observed adding the downloaded payload to the <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run</code> key to maintain persistence.
T1218.007,T1218,Software has been installed via MSI installer.
T1547.009,T1547,A version of Software drops a Windows shortcut on the victim’s machine to establish persistence.
T1552.004,T1552,Attacker has used Mimikatz to dump certificates and private keys from the Windows certificate store.
T1543.004,T1543,"Launch Daemons require elevated privileges to install, are executed for every user on a system prior to login, and run in the background without the need for user interaction."
T1059.005,T1059,Software uses AutoIt and VBS scripts throughout its execution process.
T1071.003,T1071,Software uses SMTP and POP3 for C2.
T1053.005,T1053,Attacker has used scheduled tasks to establish persistence for installed tools.
T1562.001,T1562,Adversaries may also disable updates to prevent the latest security patches from reaching tools on victim systems.
T1499.001,T1499,These attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an OS self-imposes.
T1098.004,T1098,The <code>authorized_keys</code> file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured.
T1566.001,T1566,"In this scenario, adversaries attach a file to the spearphishing email and usually rely upon  to gain execution."
T1218.005,T1218,Attacker has used `mshta.exe` to load an HTA script within a malicious .LNK file.
T1059.009,T1059,These cloud shells are often a packaged unified environment to use CLI and/or scripting modules hosted as a container in the cloud environment.
T1074.001,T1074,Attacker has been known to stage files for exfiltration in a single location.
T1027.013,T1027,The Software config file is encrypted with RC4.
T1027.013,T1027,A Attacker tool can encrypt payloads using XOR. Attacker malware is also obfuscated using Metasploit’s shikata_ga_nai encoder as well as compressed with LZNT1 compression.
T1564.001,T1564,Attacker can hide legitimate directories and replace them with malicious copies of the same name.
T1583.001,T1583,"Cyrillic, Greek, etc.)"
T1553.004,T1553,Software installs a root certificate to aid in  actions using the command <code>add-trusted-cert -d -r trustRoot -k /Library/Keychains/System.keychain /tmp/filename</code>.
T1498.001,T1498,Almost any network protocol may be used for flooding.
T1078.001,T1078,Software can use default credentials to connect to IPC$ shares on remote machines.
T1598.003,T1598,These mechanisms often appear as small images  or otherwise obfuscated objects and are typically delivered as HTML code containing a link to a remote server.
T1573.001,T1573,Software encodes C2 traffic with single-byte XOR keys.
T1564.010,T1564,"For example,  can be abused to spawn a process in a suspended state with benign arguments."
T1059.001,T1059,Software can write and execute PowerShell scripts.
T1027.010,T1027,Attacker obfuscated scripts that were used on victim machines.
T1569.002,T1569,"Software uses services.exe to register a new autostart service named ""Audit Service"" using a copy of the local lsass.exe file."
T1543.001,T1543,Software persists via Launch Agent.
T1574.005,T1574,If the executing process is set to run at a specific time or during a certain event  then this technique can also be used for persistence.
T1213.003,T1213,During the Attacker downloaded source code from code repositories.
T1588.002,T1588,Attacker has obtained and used tools such as AirVPN and plink in their operations.
T1134.001,T1134,Software can steal access tokens from exiting processes.
T1505.003,T1505,"Attacker has utilized obfuscated and open-source web shells such as JspSpy, reGeorg, MiniWebCmdShell, and Vonloesch Jsp File Browser 1.2 to enable remote code execution and to execute commands on compromised web server."
T1027.010,T1027,Software has encoded its PowerShell commands in Base64.
T1074.001,T1074,"Attacker stages data prior to exfiltration in multi-part archives, often saved in the Recycle Bin."
T1552.004,T1552,Software can use modules like <code>Invoke-SessionGopher</code> to extract private key and session information.
T1027.005,T1027,Software can scramble functions not to be executed again with random values.
T1574.002,T1574,Attacker has abused legitimate executables to side-load weaponized DLLs.
T1556.009,T1556,"By modifying conditional access policies, such as adding additional trusted IP ranges, removing  requirements, or allowing additional , adversaries may be able to ensure persistent access to accounts and circumvent defensive measures."
T1195.001,T1195,Software adds malicious code to a host's Xcode projects by enumerating CocoaPods <code>target_integrator.rb</code> files under the <code>/Library/Ruby/Gems</code> folder or enumerates all <code>.xcodeproj</code> folders under a given directory. Software then downloads a script and Mach-O file into the Xcode project folder.
T1564.001,T1564,Software can modify the characteristics of folders to hide them from the compromised user.
T1558.003,T1558,Adversaries may abuse a valid Kerberos ticket-granting ticket  or sniff network traffic to obtain a ticket-granting service  ticket that may be vulnerable to .
T1574.002,T1574,Adversaries may execute their own malicious payloads by side-loading DLLs.
T1573.002,T1573,A variant of Software encrypts some C2 with RSA.
T1053.005,T1053,"During , the threat actors established persistence through a scheduled task using the command: `/Create /F /SC DAILY /ST 09:00 /TN WinUpdate /TR`, named ""WinUpdate"""
T1056.001,T1056,Software has the capability to capture keystrokes.
T1505.001,T1505,Attacker has used various MS-SQL stored procedures.
T1218.011,T1218,Software has used `rundll32` for execution of the loader component.
T1036.005,T1036,Attacker has renamed malicious code to disguise it as Microsoft's narrator and other legitimate files.
T1592.002,T1592,Information about the installed software may also be exposed to adversaries via online or other accessible data sets .
T1588.001,T1588,Attacker has used a variety of publicly-available remote access Trojans  for its operations.
T1556.001,T1556,Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts.
T1566.003,T1566,Software as zip archives via Telegram.
T1059.005,T1059,Software uses Word macros for execution.
T1027.013,T1027,"Attacker has encrypted and encoded data in its malware, including by using base64."
T1497.001,T1497,"Software uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment."
T1070.004,T1070,Software can delete files and directories from targeted systems.
T1588.002,T1588,Software for targeting efforts.
T1036.005,T1036,"Software saves itself as a file named `msdtc.exe`, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service binary."
T1564.003,T1564,This may be utilized by system administrators to avoid disrupting user work environments when carrying out administrative tasks.
T1573.001,T1573,Software encrypts C2 data with RC4 encryption.
T1070.004,T1070,Software has the ability to delete downloaded files from a compromised host.
T1132.001,T1132,Software can use Base64 to encode its C2 traffic.
T1037.004,T1037,Adversaries may establish persistence by modifying RC scripts which are executed during a Unix-like system’s startup.
T1552.001,T1552,Attacker has a tool that can locate credentials in files on the file system such as those from Firefox or Chrome.
T1059.006,T1059,Software can generate shellcode outputs that execute via Python.
T1218.010,T1218,Regsvr32.exe can also be leveraged to register a COM Object used to establish persistence via .
T1070.008,T1070,During the Attacker removed evidence of email export requests using `Remove-MailboxExportRequest`.
T1218.011,T1218,Software uses RunDLL32 for execution via its injector DLL.
T1573.002,T1573,"Software's default encryption for its C2 communication channel is SSL, but it also has transport options for RSA and AES."
T1020.001,T1020,Adversaries may abuse traffic mirroring to mirror or redirect network traffic through other infrastructure they control.
T1562.001,T1562,"Software kills and disables services for Windows Security Center, and Windows Defender."
T1608.001,T1608,"Attacker has hosted payloads on acquired second-stage servers for periods of either days, weeks, or months."
T1027.010,T1027,Software PowerShell scripts can be encrypted with RC4 and compressed using Gzip.
T1027.010,T1027,"During , threat actors executed PowerShell commands which were encoded or compressed using Base64, zlib, and XOR."
T1003.004,T1003,Attacker has used the `reg save` command to extract LSA secrets offline.
T1546.003,T1546,Attacker has used mofcomp.exe to establish WMI Event Subscription persistence mechanisms configured from a *.mof file.
T1505.003,T1505,Software is a Web shell.
T1614.001,T1614,"On a macOS or Linux system, adversaries may query <code>locale</code> to retrieve the value of the <code>$LANG</code> environment variable."
T1543.003,T1543,Software's dispatcher can establish persistence by registering a new service.
T1584.006,T1584,Adversaries may try to take ownership of a legitimate user's access to a web service and use that web service as infrastructure in support of cyber operations.
T1071.001,T1071,Software communicates with their server over a TCP port using HTTP payloads Base64 encoded and suffixed with the string “&&&”.
T1593.001,T1593,Adversaries may search in different social media sites depending on what information they seek to gather.
T1584.001,T1584,Attacker has compromised domains to use for C2.
T1059.001,T1059,Attacker malware can use PowerShell commands to download and execute a payload and open a decoy document on the victim’s machine.
T1003.001,T1003,Software called Wrapikatz to dump credentials. They have also dumped credentials from domain controllers.
T1566.002,T1566,Attacker has delivered zero-day exploits and malware to victims via targeted emails containing a link to malicious content hosted on an uncommon Web server.
T1069.001,T1069,Software has checked the local administrators group.
T1027.003,T1027,Software can extract a malicious Portable Executable  from a photo.
T1218.010,T1218,Attacker has used `regsvr32.exe` to trigger the execution of a malicious script.
T1218.010,T1218,During Attacker used `regsvr32` to execute malware.
T1560.001,T1560,Attacker uses utilities such as WinRAR to archive data prior to exfiltration.
T1003.006,T1003,Attacker leveraged privileged accounts to replicate directory service data with domain controllers.
T1547.001,T1547,Software establishes persistence in the Startup folder.
T1137.005,T1137,"A benign rule might, for example, automatically move an email to a particular folder in Outlook if it contains specific words from a specific sender."
T1069.003,T1069,Software can enumerate Azure AD groups.
T1027.009,T1027,Software has used a dropper that embeds an encrypted payload as extra data.
T1547.009,T1547,Attacker has dropped an mspaint.lnk shortcut to disk which launches a shell script that downloads and executes a file.
T1583.004,T1583,"Adversaries may buy, lease, rent, or obtain physical servers that can be used during targeting."
T1078.003,T1078,Attacker has used known administrator account credentials to execute the backdoor directly.
T1001.003,T1001,Attacker used a FakeTLS session for C2 communications.
T1059.003,T1059,Software can use `cmd.exe` to execute commands received from C2.
T1583.004,T1583,Free trial periods of cloud servers may also be abused.
T1546.004,T1546,"For user level permissions, adversaries can insert malicious commands into <code>~/.bash_profile</code>, <code>~/.bash_login</code>, or <code>~/.profile</code> which are sourced when a user opens a command-line interface or connects remotely."
T1071.002,T1071,"Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server."
T1036.004,T1036,Software has named a task `RecoveryExTask` as part of its persistence activity.
T1560.002,T1560,Note that the libraries are different from the utilities.
T1036.009,T1036,"This creates a grandchild process with no parent process that is immediately adopted by the `init` system process , which successfully disconnects the execution of the adversary's payload from its previous process tree."
T1036.004,T1036,"Software creates a new service named “ntssrv” that attempts to appear legitimate; the service's display name is “Microsoft Network Realtime Inspection Service” and its description is “Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.” Newer versions create the ""MaintenaceSrv"" service, which misspells the word ""maintenance."""
T1550.001,T1550,"If permissions for this feature are misconfigured – for example, by allowing all users to request a token for a particular account - an adversary may be able to gain initial access to a Cloud Account or escalate their privileges."
T1556.004,T1556,"Otherwise, the implanted code will pass the credentials on for verification of potentially valid credentials."
T1053.005,T1053,"Software can maintain persistence via the creation of scheduled tasks within system directories such as `windows\system32\`, `windows\syswow64,` `winnt\system32`, and `winnt\syswow64`."
T1566.002,T1566,Attacker has used spearphishing with links to deliver files with exploits to initial victims.
T1056.001,T1056,Software can use a module to log keystrokes.
T1053.005,T1053,Software has established persistence by creating the following scheduled task <code>schtasks /create /sc minute /mo 1 /tn QQMusic ^ /tr C:Users\%USERPROFILE%\Downloads\spread.exe /F</code>.
T1562.004,T1562,Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage.
T1070.004,T1070,Some Software samples use cmd.exe to delete temporary files.
T1548.002,T1548,Software has 2 methods for elevating integrity. It can bypass UAC through `eventvwr.exe` and `sdclt.exe`.
T1564.005,T1564,Another implementation could be for an adversary to drop their own portable partition image as a file on top of the standard file system.
T1584.008,T1584,Adversaries may compromise third-party network devices that can be used during targeting.
T1556.003,T1556,Adversaries may modify pluggable authentication modules  to access user credentials or enable otherwise unwarranted access to accounts.
T1566.002,T1566,Software has been distributed via e-mails containing a malicious link.
T1560.002,T1560,Most libraries include functionality to encrypt and/or compress data.
T1569.002,T1569,Software can execute commands remotely by creating a new service on the remote system.
T1547.014,T1547,These programs will be executed under the context of the user and will have the account's associated permissions level.
T1114.001,T1114,Software contains a command to collect and exfiltrate emails from Outlook.
T1602.002,T1602,These tools may be used to query specific data from a configuration repository or configure the device to export the configuration for later analysis.
T1059.005,T1059,"Software payload, as well as macros."
T1608.004,T1608,Attacker has compromised websites to redirect traffic and to host exploit kits.
T1071.001,T1071,Attacker used HTTP to download payloads for CVE-2019-19781 and CVE-2020-10189 exploits.
T1566.002,T1566,Attacker has used spearphishing e-mails with links to cloud services to deliver malware.
T1204.002,T1204,"Attacker has used various forms of spearphishing attempting to get a user to open attachments, including, but not limited to, malicious Microsoft Word documents, .pdf, and .lnk files."
T1547.001,T1547,Software creates a Registry Run key to establish persistence.
T1070.004,T1070,Software can delete files and directories.
T1074.001,T1074,Software can stage collected information including screen captures and logged keystrokes locally.
T1548.002,T1548,Attacker uses a combination of NTWDBLIB.dll and cliconfg.exe to bypass UAC protections using DLL hijacking.
T1553.002,T1553,Software can use signed loaders to evade detection.
T1127.001,T1127,It handles XML formatted project files that define requirements for loading and building various platforms and configurations.
T1059.005,T1059,For the Software in Visual Basic.
T1098.001,T1098,This allows persistent access to instances within the cloud environment without further usage of the compromised cloud accounts.
T1059.005,T1059,Attacker has a VBScript for execution.
T1110.002,T1110,Attacker performed password brute-force attacks on the local admin account.
T1484.001,T1484,"It is possible to delegate GPO access control permissions, e.g."
T1552.006,T1552,"The following tools and scripts can be used to gather and decrypt the password file from Group Policy Preference XML files:

* Metasploit’s post exploitation module: <code>post/windows/gather/credentials/gpp</code>
* Get-GPPPassword
* gpprefdecrypt.py

On the SYSVOL share, adversaries may use the following command to enumerate potential GPP XML files: <code>dir /s * .xml</code>"
T1059.001,T1059,Software can use PowerShell to add files to the Windows Defender exclusions list.
T1204.002,T1204,"Software has used malicious Microsoft Word documents, sent via email, which prompted the victim to enable macros."
T1548.001,T1548,This will enable the setuid bit.
T1553.004,T1553,Root certificates are used in public key cryptography to identify a root certificate authority .
T1059.003,T1059,Attacker has used the command-line interface for code execution.
T1098.006,T1098,This account modification may immediately follow  or other malicious account activity.
T1087.002,T1087,"Software can use LDAP queries, `net group ""Domain Admins"" /domain` and `net user /domain` for discovery."
T1547.004,T1547,Software achieves persistence using Userinit by adding the Registry key <code>HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit</code>.
T1586.001,T1586,Attacker has compromised social media accounts to conduct social engineering attacks.
T1566.001,T1566,Attacker has used spearphishing emails containing attachments  with embedded malicious macros.
T1036.005,T1036,Attacker attempted to masquerade their files as popular anti-virus software.
T1204.002,T1204,Attacker has lured users to open malicious email attachments.
T1559.002,T1559,Attacker has used malware that can execute PowerShell scripts via DDE.
T1059.006,T1059,"Software can use an add on feature when creating payloads that allows you to create custom Python scripts  to perform tasks offline  such as sandbox detection, adding persistence, etc."
T1071.001,T1071,Variants of Software can communicate with C2 over HTTP.
T1564.001,T1564,Software creates a new hidden directory to store all components' outputs in a dedicated sub-folder for each.
T1556.007,T1556,"For example, adversaries who compromise an on-premises server running a PTA agent may inject a malicious DLL into the `AzureADConnectAuthenticationAgentService` process that authorizes all attempts to authenticate to Azure AD, as well as records user credentials."
T1036.005,T1036,Attacker has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems.
T1036.004,T1036,Software has created a service named `WmdmPmSp` to spoof a Windows Media service.
T1059.005,T1059,Software uses VBS scripts for installing files and performing execution.
T1555.003,T1555,Software can collect clear text web credentials for Internet Explorer/Edge.
T1548.001,T1548,).
T1564.002,T1564,"On Linux systems, adversaries may hide user accounts from the login screen, also referred to as the greeter."
T1059.006,T1059,"Software, along with its functions, is written in Python."
T1218.011,T1218,Software has used Rundll32 to load a malicious DLL.
T1589.002,T1589,Attacker has specifically targeted government agency employees with spearphishing e-mails.
T1132.002,T1132,Software can encode C2 communications with a base64 algorithm using a custom alphabet.
T1027.013,T1027,Attacker used Base64 encoded compressed payloads.
T1204.002,T1204,Attacker required users to click on a malicious file for the loader to activate.
T1564.011,T1564,Software has used the `nohup` command to instruct executed payloads to ignore hangup signals.
T1003.002,T1003,"* User accounts start with a RID of 1,000+."
T1003.003,T1003,Attacker has dropped and executed SecretsDump to dump password hashes. They also obtained ntds.dit from domain controllers.
T1114.003,T1114,"Adversaries may also hide the rule by making use of the Microsoft Messaging API  to modify the rule properties, making it hidden and not visible from Outlook, OWA or most Exchange Administration tools."
T1583.003,T1583,"By utilizing a VPS, adversaries can make it difficult to physically tie back operations to them."
T1037.003,T1037,Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence.
T1071.001,T1071,Software has the ability to process HTTP GET requests as a normal web server and to insert logic that will read or write files or execute commands in response to HTTP POST requests.
T1055.011,T1055,Software has overwritten the function pointer in the extra window memory of Explorer's Shell_TrayWnd in order to execute malicious code in the context of the explorer.exe process.
T1070.004,T1070,Software can delete downloaded executables after running them.
T1590.003,T1590,"Information about network trusts may include a variety of details, including second or third-party organizations/domains"
T1497.002,T1497,This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment  or sandbox.
T1555.003,T1555,Software can use modules that extract passwords from common web browsers such as Firefox and Chrome.
T1059.003,T1059,The command prompt can be invoked remotely via  such as .
T1056.001,T1056,Attacker has used key loggers to steal usernames and passwords.
T1553.002,T1553,During Attacker digitally signed their own malware to evade detection.
T1547.001,T1547,Software can achieve persistence through the Registry Run key.
T1547.014,T1547,Software creates a Registry key in the Active Setup pointing to a malicious executable.
T1003.004,T1003,LSA secrets are stored in the registry at <code>HKEY_LOCAL_MACHINE\SECURITY\Policy\Secrets</code>.
T1588.002,T1588,Software.
T1069.002,T1069,"Software can use `net.exe group ""domain admins"" /domain` to identify Domain Administrators."
T1588.002,T1588,Attacker has used customized versions of open-source tools for C2.
T1132.001,T1132,Software has exfiltrated data via hexadecimal-encoded subdomain fields of DNS queries.
T1070.004,T1070,Attacker has a tool that can delete files.
T1505.003,T1505,Attacker has used web shells to establish an initial foothold and for lateral movement within a victim's system.
T1069.002,T1069,Adversaries may attempt to find domain-level groups and permission settings.
T1059.001,T1059,Software has used PowerShell scripts.
T1565.001,T1565,"Software created a copy of the SolarWinds Orion software source file with a <code>.bk</code> extension to backup the original content, wrote Software using the same filename but with a <code>.tmp</code> extension, and then moved Software using <code>MoveFileEx</code> to the original filename with a <code>.cs</code> extension so it could be compiled within Orion software."
T1070.004,T1070,Software deletes files using DeleteFileW API call.
T1552.001,T1552,Attacker has obtained administrative credentials by browsing through local files on a compromised machine.
T1027.001,T1027,Software contains junk code in its functions in an effort to confuse disassembly programs.
T1546.010,T1546,"If a victim meets certain criteria, Software uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32.dll. It does this by creating the following Registry keys: <code>HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\AppInit_DLLs – %APPDATA%\Intel\ResN32.dll</code> and <code>HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs – 0x1</code>."
T1021.002,T1021,Linux and macOS implementations of SMB typically use Samba.
T1132.001,T1132,Software can use Base64 to encode information sent to its C2.
T1547.013,T1547,Software can use XDG Autostart Entries to establish persistence on Linux systems.
T1218.011,T1218,Software has used rundll32 during execution.
T1555.003,T1555,During the Attacker stole users' saved passwords from Chrome.
T1071.001,T1071,Software has the ability to contact actor-controlled C2 servers via HTTP.
T1055.012,T1055,"Process hollowing is commonly performed by creating a process in a suspended state then unmapping/hollowing its memory, which can then be replaced with malicious code."
T1003.001,T1003,Software contains an implementation of Software to gather credentials from memory.
T1021.004,T1021,Attacker has used SSH for lateral movement in compromised environments including for enabling access to ESXi host servers.
T1205.001,T1205,"After the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software."
T1055.002,T1055,Software has a module to inject a PE binary into a remote process.
T1090.001,T1090,Software to use a network pipe over SMB during the 2020 SolarWinds intrusion.
T1070.009,T1070,Software has deleted accounts it has created.
T1071.001,T1071,Software can use HTTP in C2 communications.
T1070.006,T1070,"After creating a new service for persistence, Software sets the file creation time for the service to the creation time of the victim's legitimate svchost.exe file."
T1056.001,T1056,Software has a module to harvest pressed keystrokes.
T1204.001,T1204,Attacker  has sent spearphishing emails that required the user to click on a malicious link and subsequently open a decoy document with a malicious loader.
T1059.001,T1059,Attacker has used PowerShell to download and execute payloads.
T1553.003,T1553,"In user mode, Windows Authenticode  digital signatures are used to verify a file's origin and integrity, variables that may be used to establish trust in signed code ."
T1505.005,T1505,Modifications to this DLL could be done to execute arbitrary payloads  as well as to simply enable abusable features of Terminal Services.
T1027.002,T1027,Software's client component is packed with UPX.
T1071.001,T1071,Software has the ability to support C2 communications over HTTP/S.
T1027.013,T1027,Attacker has used base64 encoding and ECDH-P256 encryption for payloads.
T1059.007,T1059,"JavaScript for Automation  is a macOS scripting language based on JavaScript, included as part of Apple’s Open Scripting Architecture , that was introduced in OSX 10.10."
T1069.003,T1069,"In AWS, the commands `ListRolePolicies` and `ListAttachedRolePolicies` allow users to enumerate the policies attached to a role."
T1048.003,T1048,"Adversaries may opt to obfuscate this data, without the use of encryption, within network protocols that are natively unencrypted ."
T1055.013,T1055,These changes will be isolated and only visible within the context of the transaction.
T1578.005,T1578,"Adversaries may modify settings that directly affect the size, locations, and resources available to cloud compute infrastructure in order to evade defenses."
T1555.003,T1555,Attacker has used tools that are capable of obtaining credentials from web browsers.
T1036.005,T1036,"Software has used an unsigned, crafted DLL module named <code>hha.dll</code> that was designed to look like a legitimate 32-bit Windows DLL."
T1497.001,T1497,"Software uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment."
T1543.003,T1543,Software can create a service at `HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\SvcHost` to trigger execution and maintain persistence.
T1562.001,T1562,Attacker used the service control manager on a remote system to disable services associated with security monitoring products.
T1021.001,T1021,The adversary may then perform actions as the logged-on user.
T1132.001,T1132,Software has encoded C2 communications with Base64.
T1071.001,T1071,Software can use HTTP or HTTPS for C2 communications.
T1036.005,T1036,Attacker has masqueraded their XMRIG payload name by naming it wercplsupporte.dll after the legitimate wercplsupport.dll file.
T1059.003,T1059,Software can execute remote commands via the command-line interface.
T1555.006,T1555,"Where secrets managers are in use, cloud services can dynamically acquire credentials via API requests rather than accessing secrets insecurely stored in plain text files or environment variables."
T1003.007,T1003,"For each process, the `/proc/<PID>/maps` file shows how memory is mapped within the process’s virtual address space."
T1070.006,T1070,Software will timestomp any files or payloads placed on a target machine to help them blend in.
T1021.002,T1021,"Software accesses network share, enables share access to the target device, copies an executable payload to the target system, and uses a  to execute the malware."
T1608.001,T1608,Malware may be placed on infrastructure that was previously purchased/rented by the adversary ) or was otherwise compromised by them ).
T1548.002,T1548,Software can use fileless UAC bypass and create an elevated COM object to escalate privileges.
T1590.004,T1590,This information may also include specifics regarding network devices
T1021.004,T1021,Attacker used ssh for internal reconnaissance.
T1036.005,T1036,Software binaries have been named `audioddg.pdb` and `Winlangdb.pdb` in order to appear legitimate.
T1021.001,T1021,Attacker moved laterally via RDP.
T1098.005,T1098,"Similarly, an adversary with existing access to a network may register a device to Azure AD and/or its device management system, Microsoft Intune, in order to access sensitive data or resources while bypassing conditional access policies."
T1059.007,T1059,Attacker used JavaScript to execute additional files.
T1590.002,T1590,"DNS information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts."
T1546.004,T1546,"Upon exiting, <code>/etc/zlogout</code> and <code>~/.zlogout</code> are executed."
T1543.003,T1543,Software can install a new service.
T1585.002,T1585,Establishing email accounts may also allow adversaries to abuse free services – such as trial periods – to  for follow-on purposes.
T1070.004,T1070,Software is capable of deleting files on the victim. It also securely removes itself after collecting and exfiltrating data.
T1048.001,T1048,This may result in multiple layers of encryption  or encryption in protocols that not typically encrypted .
T1070.009,T1070,"This may involve various actions, such as removing services, deleting executables, , , or other methods of cleanup to prevent defenders from collecting evidence of their persistent presence."
T1055.001,T1055,"Software injects an entire DLL into an existing, newly created, or preselected trusted process."
T1205.002,T1205,"Adversaries have used these socket filters to trigger the installation of implants, conduct ping backs, and to invoke command shells."
T1205.002,T1205,Filters can be installed on any Unix-like platform with `libpcap` installed or on Windows hosts using `Winpcap`.
T1556.001,T1556,Attacker's malware has altered the NTLM authentication program on domain controllers to allow Attacker to login without a valid credential.
T1550.001,T1550,Attacker has used compromised service principals to make changes to the Office 365 environment.
T1573.002,T1573,Software uses SSL/TLS and RC4 to encrypt traffic.
T1053.003,T1053,The Software Linux variant has used a crontab entry with a <code>@reboot</code> line to gain persistence.
T1090.001,T1090,Software can use a port forwarding rule on its agent module to relay network traffic through the client module to a remote host on the same network.
T1059.005,T1059,Attacker has used VBScript to initiate the delivery of payloads.
T1134.005,T1134,"This manipulation may result in elevated access to local resources and/or access to otherwise inaccessible domains via lateral movement techniques such as , , or ."
T1597.002,T1597,"Information from these sources may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources  or ), and/or initial access  or )."
T1558.003,T1558,Software uses Software's <code>Invoke-Kerberoast</code> to request service tickets and return crackable ticket hashes.
T1027.013,T1027,"The entire content of a file may be obfuscated, or just specific functions or values ."
T1027.005,T1027,During Software suite to avoid automated detection.
T1059.001,T1059,Software has used PowerShell to delete volume shadow copies and download files.
T1003.002,T1003,Attacker has acquired credentials from the SAM/SECURITY registry hives.
T1059.006,T1059,Attacker has used Python-based malware to install and spread their coinminer.
T1059.001,T1059,Software has used PowerShell to execute payloads.
T1497.003,T1497,"Software has set an execution trigger date and time, stored as an ASCII Unix/Epoch time value."
T1588.005,T1588,An adversary may target the systems of those known to conduct exploit research and development in order to gain that knowledge for use during a subsequent operation.
T1070.001,T1070,Software can be used to clear system and security event logs from the system.
T1566.001,T1566,Attacker has sent emails with malicious Microsoft Office documents attached.
T1021.001,T1021,Software has commands for adding a remote desktop user and sending RDP traffic to the attacker through a reverse SSH tunnel.
T1608.002,T1608,"Tools can be open or closed source, free or commercial."
T1070.003,T1070,Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done.
T1204.002,T1204,Software has used lure documents to convince the user to enable macros.
T1102.001,T1102,Attacker's MSGET downloader uses a dead drop resolver to access malicious payloads.
T1497.001,T1497,"Adversaries may search for VME artifacts in memory, processes, file system, hardware, and/or the Registry."
T1566.001,T1566,Attacker has conducted spearphishing campaigns that included malicious Word or Excel attachments.
T1218.011,T1218,During Software.
T1573.001,T1573,"Software RAT, which communicates over HTTP with a payload encrypted with RC4."
T1001.002,T1001,Software can encode binary data into a .PNG file for C2 communication.
T1566.002,T1566,Attacker has sent emails with URLs pointing to malicious documents.
T1218.011,T1218,Adversaries may therefore obscure malicious code by creating multiple identical exported function names and appending <code>W</code> and/or <code>A</code> to harmless ones.
T1069.003,T1069,Software can enumerate IAM permissions.
T1558.003,T1558,Software can decode Kerberos 5 tickets and convert it to hashcat format for subsequent cracking.
T1543.003,T1543,Software has installed a Windows service to maintain persistence on victim machines.
T1518.001,T1518,"Software looks for various security products by process name using hard-coded values in the malware. Software will not execute its keylogging thread if a process name associated with Trend Micro anti-virus is identified, or if runtime checks identify the presence of Kaspersky anti-virus. Software will initiate a new thread if certain security products are identified on the victim, and recreate any malicious files associated with it if it determines they were removed by security software in a new system location."
T1053.005,T1053,Software has used scheduled tasks to maintain persistence.
T1036.004,T1036,"Attacker has used hidden or non-printing characters to help masquerade service names, such as appending a Unicode no-break space character to a legitimate service name. Attacker has also impersonated the legitimate Flash installer file name ""install_flashplayer.exe""."
T1601.001,T1601,"When the operating system is patched in storage, this can be achieved in either the resident storage  or via ."
T1564.009,T1564,"A resource fork provides applications a structured way to store resources such as thumbnail images, menu definitions, icons, dialog boxes, and code."
T1497.001,T1497,"Software has the ability to detect Windows Sandbox, VMWare, or VirtualBox by querying `Win32_ComputerSystem` to extract the `Manufacturer` string."
T1036.005,T1036,Attacker tools attempt to spoof anti-virus processes as a means of self-defense.
T1027.011,T1027,Software has the ability to store information regarding the C2 server and downloads in the Registry key <code>HKCU\Software\ApplicationContainer\Appsw64</code>.
T1546.011,T1546,"Software has the ability to use application shimming for persistence if it detects it is running as admin on Windows XP or 7, by creating a shim database to patch services.exe."
T1547.001,T1547,Software  has added Registry Run keys to establish persistence.
T1574.006,T1574,Attacker has configured payloads to load via LD_PRELOAD.
T1053.004,T1053,"The <code>launchd</code> daemon, native to macOS, is responsible for loading and maintaining services within the operating system."
T1560.001,T1560,Software uses the <code>zip -r</code> command to compress the data collected on the local system.
T1560.001,T1560,Software can use WinRAR to create a password-protected archive for files of interest.
