Key,Value
T1111,"Adversaries may also employ a keylogger to similarly target other hardware tokens, such as RSA SecurID."
T1005,Software searches for files on local drives based on a predefined list of file extensions.
T1082,"Software can identify system information, including battery status."
T1201,Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment.
T1157,This typically results in the dylib being in the same folder as the application itself.
T1499,Software has the capability to use a Denial of Service module.
T1539,During the Attacker stole Chrome browser cookies by copying the Chrome profile directories of targeted users.
T1529,"Software has issued a shutdown command on a victim machine that, upon reboot, will run the ransomware within a VM."
T1650,A variety of online services and initial access broker networks are available to sell access to previously compromised systems.
T1528,"If a container is compromised, an adversary may be able to steal the container’s token and thereby gain access to Kubernetes API commands."
T1047,Attacker malware gathers system information via Windows Management Instrumentation .
T1106,Attacker has used built-in API functions.
T1588,"In addition to downloading free malware, software, and exploits from the internet, adversaries may purchase these capabilities from third-party entities."
T1108,"Software via Web shell to establish redundant access. The group has also used harvested credentials to gain access to Internet-accessible resources such as Outlook Web Access, which could be used for redundant access."
T1083,"Software can use a file monitor to identify .lnk, .doc, .docx, .xls, .xslx, and .pdf files."
T1041,"Software has uploaded a file containing debugger logs, network information and system information to the C2."
T1041,Attacker has exfiltrated stolen victim data through C2 communications.
T1207,DCShadow may be used to create a rogue Domain Controller .
T1484,"With sufficient permissions, adversaries can modify domain or tenant policy settings."
T1018,Software uses  to enumerate all systems in the network.
T1112,Software can modify Registry values within <code>HKEY_CURRENT_USER\Software\Microsoft\Office\<Excel Version>\Excel\Security\AccessVBOM\</code> to enable the execution of additional code.
T1192,"Generally, the links will be accompanied by social engineering text and require the user to actively click or copy and paste a URL into a browser, leveraging ."
T1069,Attacker used the <code>Get-ManagementRoleAssignment</code> PowerShell cmdlet to enumerate Exchange management role assignments through an Exchange Management Shell.
T1064,Attacker embeds a Visual Basic script within a malicious Word document as part of initial access; the script is executed when the Word document is opened. The actors also used batch scripting.
T1082,Software can collect the computer name of a targeted system.
T1021,Adversaries can abuse applications such as ARD to gain remote code execution and perform lateral movement.
T1016,Software has the ability to identify the current Windows domain of the infected host.
T1105,Software can download and execute additional files. Software has also downloaded a ransomware payload called Hermes.
T1181,"Similar to , this may allow access to both the target process's memory and possibly elevated privileges."
T1082,Attacker has run <code>hostname</code> and <code>systeminfo</code> on a victim.
T1057,"Attacker leveraged Sysmon to understand the processes, services in the organization."
T1082,"Software can collect the local hostname, operating system details, CPU speed, and total physical memory."
T1018,Software can use <code>net view</code> to gather information about remote systems.
T1046,"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation."
T1489,Software has a hardcoded list of services and processes to terminate.
T1083,Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.
T1106,Software can use <code>GetProcAddress</code> to help delete malicious strings from memory.
T1480,"Software can ensure it executes only on intended systems by identifying the victim's volume serial number, hostname, and/or DNS domain."
T1027,Software uses a XOR cipher to encrypt command output written to its OneDrive C2 server.
T1050,Software variants can add malicious DLL modules as new services.
T1619,"Software can enumerate AWS storage services, such as S3 buckets and Elastic Block Store volumes."
T1082,"Software can use `uname` to identify the operating system name, version, and processor type."
T1134,Software has attempted to adjust its token privileges to have the <code>SeDebugPrivilege</code>.
T1039,that are accessible from the current system prior to Exfiltration.
T1124,"This information could be useful for performing other techniques, such as executing a file with a , or to discover locality information based on time zone to assist in victim targeting (i.e."
T1073,Adversaries may take advantage of a legitimate program that is vulnerable to side-loading to load a malicious DLL.
T1005,Software can collect data from user directories.
T1065,"Software has used uncommon TCP ""high port"" to ""high port"" communication."
T1082,"Software can obtain information about the victim computer name, physical memory, country, and date."
T1080,"Software can replace legitimate software or documents in the compromised network with their trojanized versions, in an attempt to propagate itself within the network."
T1105,Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as Software.
T1082,"Software can detect the computer name, operating system, and drive information, including drive type, total number of bytes on disk, total number of free bytes on disk, and name of a specified volume."
T1055,"Software can inject itself into processes including explore.exe, Iexplore.exe, Mobsync.exe., and wermgr.exe."
T1105,Attacker has downloaded additional malware onto compromised hosts.
T1043,"Software communicates over common ports such as TCP 80, 443, and 25."
T1135,It can also be used to query shared drives on the local system using <code>net share</code>.
T1219,"During Attacker directed victims to run remote monitoring and management  tools.

In addition to directing victims to run remote software, Scattered Spider members themselves also deploy RMM software including AnyDesk, LogMeIn, and ConnectWise Control to establish persistence on the compromised network."
T1105,Software can download and execute or update malware.
T1088,"The Github readme page for UACMe contains an extensive list of methods  that have been discovered and implemented within UACMe, but may not be a comprehensive list of bypasses."
T1043,"Software uses a custom command and control protocol that communicates over commonly used ports, and is frequently encapsulated by application layer protocols."
T1120,Software can detect USB devices.
T1005,Software can retrieve files from the local file system.
T1005,Software has uploaded files from victims' machines.
T1160,This process loads the parameters for each launch-on-demand system-level daemon from the property list  files found in <code>/System/Library/LaunchDaemons</code> and <code>/Library/LaunchDaemons</code> .
T1123,Software can capture microphone data from the victim's machine.
T1095,"Software uses a custom binary protocol using a type, length, value format over TCP."
T1142,"Keychains are the built-in way for macOS to keep track of users' passwords and credentials for many services and features such as WiFi passwords, websites, secure notes, certificates, and Kerberos."
T1105,Software contains a network loader to receive executable modules from remote attackers and run them on the local victim. It can also upload and download files over HTTP and HTTPS.
T1106,Software has the ability to use OS APIs including `CheckRemoteDebuggerPresent`.
T1018,Software collects a list of available servers with the command <code>net view</code>.
T1186,* Animate – Create a process from the tainted section of memory and initiate execution.
T1041,Attacker has exfiltrated data over its C2 channel.
T1140,Software has used crypto key information stored in the Registry to decrypt Tor clients dropped to disk.
T1534,Attacker has conducted internal spearphishing within the victim's environment for lateral movement.
T1113,Software takes periodic screenshots and exfiltrates them.
T1082,Software can collect system information including the OS version and domain on a compromised host.
T1105,"Software can upload, download, and execute files on the victim."
T1016,Attacker has identified the IP address of a compromised host.
T1492,"Stored data could include a variety of file formats, such as Office files, databases, stored emails, and custom file formats."
T1002,"Attacker has used RAR to compress, encrypt, and password-protect files prior to exfiltration."
T1033,Software to collect usernames from the system.
T1189,Attacker has infected victims using watering holes.
T1140,Software has a function that decrypts malicious data.
T1015,"Other accessibility features exist that may also be leveraged in a similar fashion: 

* On-Screen Keyboard: <code>C:\Windows\System32\osk.exe</code>
* Magnifier: <code>C:\Windows\System32\Magnify.exe</code>
* Narrator: <code>C:\Windows\System32\Narrator.exe</code>
* Display Switcher: <code>C:\Windows\System32\DisplaySwitch.exe</code>
* App Switcher: <code>C:\Windows\System32\AtBroker.exe</code>"
T1501,"Adversaries have used systemd functionality to establish persistent access to victim systems by creating and/or modifying service unit files that cause systemd to execute malicious commands at recurring intervals, such as at system boot."
T1005,Software can gather information from compromised hosts.
T1588,"This can include stealing software licenses, malware, SSL/TLS and code-signing certificates, or raiding closed databases of vulnerabilities or exploits."
T1184,differs from use of  because it injects into an existing SSH session rather than creating a new session using .
T1082,"Software has collected system information, including the machine name and OS version."
T1010,Software has the ability to list open windows on the compromised host.
T1010,Attacker malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process. The KilaAlfa keylogger also reports the title of the window in the foreground.
T1105,Software can download additional plug-ins to a compromised host.
T1027,Software can encrypt data prior to exfiltration by using an RSA public key.
T1498,"To perform Network DoS attacks several aspects apply to multiple methods, including IP address spoofing, and botnets."
T1189,Attacker has used watering hole attacks to gain access.
T1568,Software has used a dynamic DNS service for C2.
T1044,"### Services

Manipulation of Windows service binaries is one variation of this technique."
T1003,Software can dump passwords and save them into <code>\ProgramData\Mail\MailAg\pwds.txt</code>.
T1055,Software performs code injection injecting its own functions to browser processes.
T1570,Attacker has copied tools between compromised hosts using SMB.
T1091,Software drops itself onto removable media and relies on Autorun to execute the malicious file when a user opens the removable media on another system.
T1022,"Modules can be pushed to and executed by Software that copy data to a staging area, compress it, and XOR encrypt it."
T1102,"Attacker has used legitimate web services including Pastebin, Dropbox, and GitHub for C2 communications."
T1083,Software can discover files on a local system.
T1622,Software can detect debuggers by using functions such as `DebuggerIsAttached` and `DebuggerIsLogging`. Software can also detect profilers by verifying the `COR_ENABLE_PROFILING` environment variable is present and active.
T1490,Software can delete the shadow volumes with <code>vssadmin Delete Shadows /all /quiet</code> and can use bcdedit to disable recovery options.
T1005,Software has the ability to upload files from a compromised host.
T1105,Software can download remote files.
T1206,"As of macOS Sierra, the sudoers file has <code>tty_tickets</code> enabled by default."
T1657,Software banking trojan with the goal of financial theft.
T1555,Software can use Lazagne for harvesting credentials.
T1033,Software enumerates and collects the username from the victim’s machine.
T1027,Software is loaded and executed by a highly obfuscated launcher.
T1542,"During the booting process of a computer, firmware and various startup services are loaded before the operating system."
T1608,* Uploading malware or tools to a location accessible to a victim network to enable .
T1573,Software can support encrypted communications between the client and server.
T1049,"Software can use Software, Software, and Software to discover current TCP connections."
T1534,"Adversaries may then attempt to take advantage of the trusted internal account to increase the likelihood of tricking more victims into falling for phish attempts, often incorporating ."
T1070,"Typically these artifacts are used as defensive indicators related to monitored events, such as strings from downloaded files, logs that are generated from user actions, and other data analyzed by defenders."
T1133,"Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations."
T1124,Software can check the system time set on the infected host.
T1053,Utilities exist within all major operating systems to schedule programs or scripts to be executed at a specified date and time.
T1113,"Software contains the takeScreenShot  functions to take screenshots using the CGGetActiveDisplayList, CGDisplayCreateImage, and NSImage:initWithCGImage methods."
T1082,"Software can collect the computer name from the machine,."
T1043,Software beacons to destination port 443.
T1012,Software contains a collection of Privesc-PowerUp modules that can query Registry keys for potential opportunities.
T1518,Attacker has searched the victim system for the <code>InstallUtil.exe</code> program and its version.
T1082,Software can determine the Windows version and computer name on a compromised host.
T1179,Installing hooking mechanisms may also provide Persistence via continuous invocation when the functions are called through normal use.
T1140,Software has decrypted encrypted strings.
T1197,"BITS tasks are self-contained in the BITS job database, without new files or registry modifications, and often permitted by host firewalls."
T1082,Software can identify the hard disk volume serial number on a compromised host.
T1584,"Prior to targeting, adversaries may compromise the infrastructure of other adversaries."
T1117,"Since regsvr32.exe is network and proxy aware, the scripts can be loaded by passing a uniform resource locator  to file on an external Web server as an argument during invocation."
T1022,"The encryption is performed by a utility, programming library, or custom algorithm on the data itself and is considered separate from any encryption performed by the command and control or file transfer protocol."
T1553,The method adversaries use will depend on the specific mechanism they seek to subvert.
T1038,Often this location is the current working directory of the program.
T1016,Software uses the <code>ipconfig</code> command.
T1047,Software can query the WMI class `Win32_ComputerSystem` to gather information.
T1179,"Hooking involves redirecting calls to these functions and can be implemented via:

* **Hooks procedures**, which intercept and execute designated code in response to events such as messages, keystrokes, and mouse inputs."
T1489,Attacker has stopped the MSExchangeIS service to render Exchange contents inaccessible to users.
T1083,"Examples include <code>dir</code>, <code>tree</code>, <code>ls</code>, <code>find</code>, and <code>locate</code>."
T1547,Software’s RAT makes a persistent target file with auto execution on the host start.
T1118,InstallUtil is a command-line utility that allows for installation and uninstallation of resources by executing specific installer components specified in .NET binaries.
T1041,Software has sent collected data from a compromised host to its C2 servers.
T1146,"While logged in, this command history is tracked in a file pointed to by the environment variable <code>HISTFILE</code>."
T1068,Software can exploit vulnerabilities such as MS14-058.
T1018,Software runs the <code>net view /domain</code> and <code>net view</code> commands.
T1106,"After escalating privileges, Software calls <code>TerminateProcess</code>, <code>CreateRemoteThread</code>, and other Win32 APIs."
T1202,Attacker persistence mechanisms have used <code>forfiles.exe</code> to execute .htm files.
T1112,"Software has written process names to the Registry, disabled IE browser features, deleted Registry keys, and changed the ExtendedUIHoverTime key."
T1072,Attacker compromised McAfee ePO to move laterally by distributing malware as a software deployment task.
T1018,"Software can find machines on the local network by gathering known local IP addresses through `DNSGetCacheDataTable`, `GetIpNetTable`,`WNetOpenEnumW`,`NetServerEnum`,`GetTcpTable`, and `GetAdaptersAddresses.`"
T1165,"Additionally, since StartupItems run during the bootup phase of macOS, they will run as root."
T1095,Software can use TCP for C2 communications.
T1082,A system info module in Software gathers information on the victim host’s configuration.
T1007,Software can obtain running services on the victim.
T1585,The persona may exist on a single site or across multiple sites .
T1082,Software has the ability to identify the host volume ID and the OS architecture on a compromised host.
T1033,Software obtains the victim username.
T1047,Software can use WMI to execute commands.
T1571,Attacker malware has communicated with its C2 server over TCP ports 4443 and 10151 using HTTP.
T1030,Attacker actors have split RAR files for exfiltration into parts.
T1007,"After compromising a victim, Attacker discovers all running services."
T1028,Windows Remote Management  is the name of both a Windows service and a protocol that allows a user to interact with a remote system .
T1156,"When the shell exits or terminates, additional shell scripts are executed to ensure the shell exits appropriately."
T1115,"macOS and Linux also have commands, such as <code>pbpaste</code>, to grab clipboard contents."
T1140,Software uses XOR and RC4 to perform decryption on the code functions.
T1134,Software modified its security token to grants itself debugging privileges by adding <code>SeDebugPrivilege</code>.
T1211,Adversaries may exploit a system or application vulnerability to bypass security features.
T1190,Attacker has exploited the ProxyLogon vulnerability  to compromise Exchange Servers at multiple organizations.
T1519,"Emond is a  that accepts events from various services, runs them through a simple rules engine, and takes action."
T1125,This technique differs from  due to use of specific devices or applications for video recording rather than capturing the victim's screen.
T1091,Software is capable of spreading to USB devices.
T1082,"Software can collect the victim's computer name, hostname and adapter information to create a unique identifier."
T1112,Software has the ability to modify the Registry on compromised hosts using <code>RegDeleteValueA</code> and <code>RegCreateKeyExA</code>.
T1082,Software has collected the operating system version from the infected system.
T1047,Software has attempted to execute with WMIC.
T1105,"Adversaries may also abuse installers and package managers, such as `yum` or `winget`, to download tools to victim hosts."
T1490,Software has the ability to delete shadow volumes using <code>vssadmin.exe delete shadows /all /quiet</code>.
T1040,Attacker has used intercepter-NG to sniff passwords in network traffic.
T1078,Attacker has harvested valid administrative credentials for lateral movement.
T1076,It allows a user to log into an interactive session with a system desktop graphical user interface on a remote system.
T1531,"Accounts may be deleted, locked, or manipulated  to remove access to accounts."
T1113,Software can capture screenshots.
T1140,Software has the ability to decrypt files downloaded from C2.
T1090,Attacker has used a reverse proxy tool similar to the GitHub repository revsocks.
T1033,Software gathers and beacons the username of the logged in account during installation. It will also gather the username of running processes to determine if it is running as SYSTEM.
T1112,Software creates three Registry keys to establish persistence by adding a .
T1217,Attacker retrieves browser histories via infostealer malware such as Raccoon Stealer.
T1140,"During , malicious files were decoded prior to execution."
T1486,Software encrypts the victims machine followed by asking the victim to pay a ransom.
T1083,Software lists files in directories.
T1101,Windows Security Support Provider  DLLs are loaded into the Local Security Authority  process at system start.
T1057,Software checks its parent process for indications that it is running in a sandbox setup.
T1044,"When installers create subdirectories and files they often do not set appropriate permissions to restrict write access, which allows for execution of untrusted code placed in the subdirectories or overwriting of binaries used in the installation process."
T1205,"On network devices, adversaries may use crafted packets to enable  for standard services offered by the device such as telnet."
T1105,Dragonfly downloaded tools from a remote server after they were inside the victim network.
T1140,Software can deobfuscate C2 server responses and unpack its code on targeted hosts.
T1102,Software can download files from Dropbox using a hardcoded access token.
T1074,"Interactive command shells may be used, and common functionality within Software and bash may be used to copy data into a staging location."
T1010,Software can enumerate active windows.
T1083,Software can detect the victim's file or folder list.
T1027,hides any strings related to its own indicators of compromise.
T1020,Software can automatically upload collected files to its C2 server.
T1190,Attacker has used SQL injection for initial compromise.
T1005,Attacker has collected data from local victim systems.
T1014,Software has used user mode rootkit techniques to remain hidden on the system.
T1057,Software can enumerate the processes that run on the platform.
T1190,Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.
T1528,"For example, in Kubernetes environments, processes running inside a container may communicate with the Kubernetes API server using service account tokens."
T1037,Attacker has hijacked legitimate application-specific startup scripts to enable malware to execute on system startup.
T1047,Software can perform WMI commands on the system.
T1083,Software is capable of performing directory listings.
T1514,"When calling this API, the user will be prompted to enter their credentials but no checks on the origin or integrity of the program are made."
T1648,"For example, in AWS environments, an adversary may create a Lambda function that automatically adds  to a user and a corresponding CloudWatch events rule that invokes that function whenever a new user is created."
T1012,Software has executed the <code>reg query</code> command for <code>HKEY_CURRENT_USER\Software\Microsoft\Terminal Server Client\Default</code>.
T1656,During Attacker impersonated HR hiring personnel through LinkedIn messages and conducted interviews with victims in order to deceive them into downloading malware.
T1198,* **Note:** The above hijacks are also possible without modifying the Registry via .
T1608,* Staging web resources for a link target to be used with spearphishing.
T1069,Attacker used the <code>Get-ManagementRoleAssignment</code> PowerShell cmdlet to enumerate Exchange management role assignments through an Exchange Management Shell.
T1185,Software uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page.
T1112,"Software is capable of deleting Registry keys, sub-keys, and values on a victim system."
T1005,Software has the capability to upload collected files to a C2.
T1041,Software exfiltrates data over its C2 channel.
T1082,Software collects a unique identifier  from a compromised host.
T1573,Attacker has used an encrypted http proxy in C2 communications.
T1018,Software has used a script to parse files like <code>/etc/hosts</code> and SSH <code>known_hosts</code> to discover remote systems.
T1112,Software can create `HKCU\Software\Classes\Folder\shell\open\command` as a new registry key during privilege escalation.
T1005,Software can copy files and directories from a compromised host.
T1514,The program calling the API may also load world writable files which can be modified to perform malicious behavior with elevated privileges.
T1080,Attacker has placed malware on file shares and given it the same name as legitimate documents on the share.
T1070,"Software has a command to delete a Registry key it uses, <code>\Software\Microsoft\Internet Explorer\notes</code>."
T1135,Software module shareDll/mshareDll discovers network shares via the WNetOpenEnumA API.
T1082,Software gathers the hostname and OS version from the victim’s machine.
T1082,Software can identify drives on compromised hosts and retrieve the hostname via `gethostbyname`.
T1133,Attacker has used compromised VPN accounts to gain access to victim systems.
T1049,"Similarly, adversaries who gain access to network devices may also perform similar discovery activities to gather information about connected systems and services."
T1199,Attacker has accessed internet-facing identity providers such as Azure Active Directory and Okta to target specific organizations.
T1140,Software can deobfuscate base64 encoded and AES encrypted commands.
T1528,"Adversaries who steal account API tokens in cloud and containerized environments may be able to access data and perform actions with the permissions of these accounts, which can lead to privilege escalation and further compromise of the environment."
T1113,Software has the ability to take screen captures.
T1005,Software can collect data and files from a compromised host.
T1041,Software has uploaded collected data and files from a compromised host to its C2 server.
T1008,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.
T1071,Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic.
T1025,Software has the ability to extract data from removable devices connected to the endpoint.
T1050,Attacker creates a Windows service to establish persistence.
T1047,Software can use WMI to create a new process on a remote machine via `C:\windows\system32\cmd.exe /c start C:\windows\system32\\regsvr32.exe /s /iC:\windows\<filename>.dll`.
T1080,Software has copied itself to and infected files in network drives for propagation.
T1199,Organizations often grant elevated access to second or third-party external providers in order to allow them to manage internal systems as well as cloud-based environments.
T1487,"To maximize impact on the target organization, malware designed for destroying disk structures may have worm-like features to propagate across a network by leveraging other techniques like , , and ."
T1094,Software network traffic communicates over a raw socket.
T1064,"Software payload. Attacker has also used Microsoft scriptlets, macros, and PowerShell scripts.["
T1221,Software has been install via template injection through a malicious DLL embedded within a template RTF in a Word document.
T1113,Software has a command to periodically take screenshots of the system.
T1095,Software uses TCP and UDP for C2.
T1007,Adversaries may try to gather information about registered local system services.
T1522,Most cloud service providers support a Cloud Instance Metadata API which is a service provided to running virtual instances that allows applications to access information about the running virtual instance.
T1140,Software can decrypt downloaded payloads. Software also resolves strings and other artifacts at runtime.
T1220,Software executes embedded JScript or VBScript in an XSL stylesheet located on a remote domain.
T1560,Software encrypts collected data using a public key framework before sending it over the C2 channel. Some variants encrypt the collected data with AES and encode it with base64 before transmitting it to the C2 server.
T1091,"For example, when a smartphone is connected to a system, it may appear to be mounted similar to a USB-connected disk drive."
T1083,Software has a command to list its directory and logical drives.
T1105,Software has been used to deploy other malware including Software.
T1068,"Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code."
T1082,"Software can capture information regarding the victim's OS, security, and hardware configuration."
T1041,Software can exfiltrate data gathered from the infected system via the established Exchange Web Services API C2 channel.
T1105,Software can use a `Put` command to write files to an infected machine.
T1064,Software uses a module to execute Mimikatz with PowerShell to perform .
T1567,Software has used legitimate web services to exfiltrate data.
T1135,Software has enumerated shared drives on a compromised network.
T1016,Software may collect network configuration data by running <code>ipconfig /all</code> on a victim.
T1140,Software has the ability to decode and decrypt downloaded files.
T1584,Adversaries may compromise third-party infrastructure that can be used during targeting.
T1113,Software can capture screenshots of the victim’s machine.
T1140,Software has the ability to decrypt fileless loader modules.
T1005,Software can use a file exfiltration tool to collect recently changed files on a compromised host.
T1105,"Attacker has used various tools to download files, including DGet ."
T1198,"Hijacking SIP or trust provider components can also enable persistent code execution, since these malicious components may be invoked by any application that performs code signing or signature validation."
T1082,Attacker has a tool that can obtain information about the local system.
T1057,Software has the ability to list running processes on a compromised host.
T1078,Attacker has used valid accounts for initial access and privilege escalation.
T1057,Software can use `GetCurrentProcess` to enumerate processes.
T1210,Software used the EternalRomance SMB exploit to spread through victim networks.
T1112,Software can set and delete Registry keys.
T1005,Software can collect data from a local system.
T1018,Software may be used to enumerate remote domain controllers using options such as <code>/dclist</code> and <code>/dsgetdc</code>.
T1123,Software captured audio and sent it out to a C2 server.
T1019,Software is a UEFI BIOS rootkit developed by the company Hacking Team to persist remote access software on some targeted systems.
T1105,Software can download additional files onto the compromised host.
T1560,Software automatically encrypts files before sending them to the C2 server.
T1055,The Software payload has been injected into the `logagent.exe` and `rdpclip.exe` processes.
T1555,Software to steal credentials to accounts logged into the compromised system and to Outlook Web Access.
T1589,"Gathering this information may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources ), and/or initial access  or )."
T1554,Software can imbed itself into the legitimate `compcheckresult.cgi` component of Ivanti Connect Secure VPNs to enable command execution.
T1078,"Attacker has used credential dumpers or stealers to obtain legitimate credentials, which they used to gain access to victim accounts."
T1059,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries."
T1196,"For ease of use, Control Panel items typically include graphical menus available to users after being registered and loaded into the Control Panel."
T1083,Software can perform a recursive directory listing for all volume drives available on the victim's machine and can also fetch specific files by their paths.
T1083,Some versions of Software search for the hard-coded folder <code>C:\Program Files\e Carte Bleue</code>.
T1055,Software can inject itself into an existing explorer.exe process by using `RtlCreateUserThread`.
T1484,"* adding new, adversary-controlled federated identity providers to identity tenants, allowing adversaries to authenticate as any user managed by the victim tenant 

Adversaries may temporarily modify domain or tenant policy, carry out a malicious action, and then revert the change to remove suspicious indicators."
T1083,Software uses a driver to scan for specific filesystem driver objects.
T1083,Software can obtain victim drive information as well as a list of folders in C:\Program Files.
T1113,Software can take screenshots on remote hosts.
T1049,Software has a plugin to retrieve information about all active network sessions on the infected server.
T1067,"Similar to the case of MBR, an adversary who has raw access to the boot drive may overwrite the VBR to divert execution during startup to adversary code."
T1007,Software to obtain information from a compromised host.
T1053,These mechanisms can also be abused to run a process under the context of a specified account .
T1485,Software has destroyed Linux-based databases as part of its ransomware capabilities.
T1140,Software can deobfuscate strings and files for execution.
T1543,Software has a hardcoded location that it uses to achieve persistence if the startup system is Upstart or System V and it is running as root.
T1016,Software has collected the domain name of the victim system.
T1033,Software may collect information about the currently logged in user by running <code>whoami</code> on a victim.
T1032,Software uses AES to encrypt C2 communications.
T1566,Attacker has used spearphising campaigns to gain access to victims.
T1219,Attacker has used a modified TeamViewer client as a command and control channel.
T1072,"SaaS-based configuration management services may allow for broad  on cloud-hosted instances, as well as the execution of arbitrary commands on on-premises endpoints."
T1113,Software can take a screenshot on the infected system.
T1083,Software has a command to search for files on the victim’s machine.
T1027,"Attacker has executed PowerShell commands which were encoded or compressed using Base64, zlib, and XOR."
T1528,An OAuth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials.
T1110,Adversaries may also combine brute forcing activity with behaviors such as  as part of Initial Access.
T1189,Attacker has used watering hole attacks to deliver malicious versions of legitimate installers.
T1008,Software can use backup C2 servers if the primary server fails.
T1090,Software uses the infected hosts as SOCKS5 proxies to allow for tunneling and proxying.
T1105,Software can download additional files onto a compromised host.
T1095,Attacker has used TCP for C2.
T1038,"In this case, the technique could be used for privilege escalation from user to administrator or SYSTEM or from administrator to SYSTEM, depending on the program."
T1570,Attacker has deployed Meterpreter stagers and SplinterRAT instances in the victim network after moving laterally.
T1530,"Similarly, SaaS enterprise platforms such as Office 365 and Google Workspace provide cloud-based document storage to users through services such as OneDrive and Google Drive, while SaaS application providers such as Slack, Confluence, Salesforce, and Dropbox may provide cloud storage solutions as a peripheral or primary use case of their platform."
T1082,During Software to collect information on targeted hosts.
T1105,Software has a command to download a file from a remote server to execute.
T1027,Attacker used VMProtected binaries in multiple intrusions.
T1140,Software decrypts the configuration data using XOR with 25-character keys.
T1036,Attacker has used .doc file extensions to mask malicious executables.
T1568,Attacker used dynamic DNS resolution to construct and resolve to randomly-generated subdomains for C2.
T1190,"Software has been dropped through exploitation of CVE-2011-2462, CVE-2013-3163, and CVE-2014-0322."
T1514,This API does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified.
T1106,Software contains the execFile function to execute a specified file on the system using the NSTask:launch method.
T1105,Software has the capability to download files from the C2 server.
T1580,"Adversaries have also may use infrastructure discovery APIs such as <code>DescribeDBInstances</code> to determine size, owner, permissions, and network ACLs of database resources."
T1659,Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic.
T1108,"Software will sleep until after a date/time value loaded from a .dat file has passed. This allows the RAT to remain dormant until a set date, which could allow a means to regain access if other parts of the actors' toolset are removed from a victim."
T1102,"Attacker has used Pastebin, Gitee, and GitLab for Command and Control."
T1113,Software has the ability to capture the victim's screen.
T1083,Attacker identified and extracted all Word documents on a server by using a command containing * .doc and *.docx. The actors also searched for documents based on a specific date range and attempted to identify all installed software on a victim.
T1034,An adversary who finds a program vulnerable to search order hijacking  may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.
T1024,Software will use an 8-byte XOR key derived from the string HYF54&%9&jkMCXuiS instead if the DES decoding fails.
T1106,"Software has used the `InterlockedExchange`, `SeShutdownPrivilege`, and `ExitWindowsEx` Windows API functions."
T1105,Software is capable of performing remote file transmission.
T1105,"Software obtains additional code to execute on the victim's machine, including the downloading of a secondary payload."
T1082,Software can use <code>GET.WORKSPACE</code> in Microsoft Excel to determine the OS version of the compromised host.
T1535,A variation on this behavior takes advantage of differences in functionality across cloud regions.
T1041,Software can use SMTP and DNS for file exfiltration and C2.
T1082,Attacker has used implants to perform system reconnaissance on targeted systems.
T1106,Software uses the SetSecurityDescriptorDacl API to reduce object integrity levels.
T1494,Adversaries may also conduct  and  to cause a similar effect.
T1047,Software uses WMI to help propagate itself across a network.
T1192,"Adversaries may also include links that are intended to interact directly with an email reader, including embedded images intended to exploit the end system directly or verify the receipt of an email (i.e."
T1610,Software was run through a deployed container.
T1652,Adversaries may attempt to enumerate local device drivers on a victim host.
T1113,Software contains screen capture functionality.
T1610,Attacker has deployed different types of containers into victim environments to facilitate execution. Attacker has also transferred cryptocurrency mining software to Kubernetes clusters discovered within local IP address ranges.
T1098,Adversaries may manipulate accounts to maintain and/or elevate access to victim systems.
T1055,Software performs multiple process injections to hijack system processes and execute malicious code.
T1027,"Software can use ""stackstrings"" for obfuscation."
T1049,"Attacker installed a port monitoring tool, MAPMAKER, to print the active TCP connections on the local system."
T1036,Software's payload has been renamed `PowerShellInfo.exe`.
T1033,Software can check if the current user of a compromised system is an administrator.
T1535,Access is usually obtained through compromising accounts used to manage cloud infrastructure.
T1105,"Software can download additional packages for keylogging, cryptocurrency mining, and other capabilities; it can also retrieve malicious payloads such as Software, AsyncRat, Software, RedLine, Software, and Metasploit."
T1082,Software collects the machine name and keyboard language from the system.
T1090,Attacker has delivered a generic Windows proxy Win32/Glubteta.M. Attacker has also used multiple reverse proxy chains as part of their C2 infrastructure.
T1059,Software spawns a CMD process to execute commands.
